Filter,N,FPR_Target,Workload,NegShare,LoadFactor,Threads,FPBits,Insert_s,Query_s,FalsePosRate,BPE
cuckoo,1000000,0.01,read-mostly,0.9,1,2,12,0.031816,0.0295149,0.0172874,16
cuckoo,1000000,0.01,read-mostly,0.9,1,2,16,0.0320733,0.0277568,0.0172874,16
cuckoo,1000000,0.01,read-mostly,0.9,1,4,8,0.033222,0.0291763,0.0172926,16
cuckoo,1000000,0.01,read-mostly,0.9,1,4,12,0.0316728,0.0273431,0.0172958,16
cuckoo,1000000,0.01,read-mostly,0.9,1,4,16,0.031707,0.0273852,0.0172989,16
cuckoo,1000000,0.01,read-mostly,0.9,1,8,8,0.0313607,0.0268192,0.0172905,16
cuckoo,1000000,0.01,read-mostly,0.9,1,8,12,0.0316218,0.0286735,0.0172958,16
cuckoo,1000000,0.01,read-mostly,0.9,1,8,16,0.033795,0.0284572,0.0172863,16
cuckoo,1000000,0.01,balanced,0,1,1,8,0.0354465,0.046819,0,16
cuckoo,1000000,0.01,balanced,0,1,1,12,0.0312125,0.045728,0,16
cuckoo,1000000,0.01,balanced,0,1,1,16,0.0306868,0.0449462,0,16
cuckoo,1000000,0.01,balanced,0,1,2,8,0.0315925,0.047409,0,16
cuckoo,1000000,0.01,balanced,0,1,2,12,0.034462,0.0452806,0,16
cuckoo,1000000,0.01,balanced,0,1,2,16,0.0315149,0.04616,0,16
cuckoo,1000000,0.01,balanced,0,1,4,8,0.0343182,0.0458499,0,16
cuckoo,1000000,0.01,balanced,0,1,4,12,0.0332682,0.0472071,0,16
cuckoo,1000000,0.01,balanced,0,1,4,16,0.0314227,0.0463367,0,16
cuckoo,1000000,0.01,balanced,0,1,8,8,0.0309396,0.0459792,0,16
cuckoo,1000000,0.01,balanced,0,1,8,12,0.0315155,0.0459059,0,16
